tow_date,tow_reason,storage_company,street,city,geo_location,longitude,latitude,location,block,hh_income,pop_total,pop_black,state,tract
2020-07-24,FIRE,Authorized,15 Butterwick Ct,Montgomery Village,POINT (-77.182879 39.188721),-77.182879,39.188721,"(39.188721, -77.182879)",7001041,118906,2619,518,24,700104
2020-07-04,NOP,Authorized,8678 Welbeck Way,Montgomery Village,POINT (-77.182523 39.186198),-77.182523,39.186198,"(39.186198, -77.182523)",7001041,118906,2619,518,24,700104
2020-07-28,EXP,Authorized,20127 Welbeck Ter,Montgomery Village,POINT (-77.183188 39.186839),-77.183188,39.186839,"(39.186839, -77.183188)",7001041,118906,2619,518,24,700104
2020-08-01,NOP,Henrys,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2020-08-28,PKG,Authorized,20645 Beaver Ridge Rd,Montgomery Village,POINT (-77.182986 39.192345),-77.182986,39.192345,"(39.192345, -77.182986)",7001041,118906,2619,518,24,700104
2020-08-01,PKG,,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2020-12-10,PKG,,8842 Thomas Lea Ter,Montgomery Village,POINT (-77.18164 39.190695),-77.18164,39.190695,"(39.190695, -77.18164)",7001041,118906,2619,518,24,700104
2021-02-16,NOP,Henrys,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2021-02-13,FIRE,Authorized,8826 Thomas Lea Ter,Montgomery Village,POINT (-77.181074 39.19075),-77.181074,39.19075,"(39.19075, -77.181074)",7001041,118906,2619,518,24,700104
2021-02-20,REPO,Final Notice,8813 Thomas Lea Ter,Montgomery Village,POINT (-77.180549 39.191022),-77.180549,39.191022,"(39.191022, -77.180549)",7001041,118906,2619,518,24,700104
2021-02-15,REPO,Thomas,8660 Welbeck Way,Montgomery Village,POINT (-77.182088 39.186488),-77.18208800000001,39.186488,"(39.186488, -77.182088)",7001041,118906,2619,518,24,700104
2021-02-23,OVERNIGHT,Henrys,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2021-02-20,DAV,Authorized,20402 Davencroft Ct,Montgomery Village,POINT (-77.177224 39.188562),-77.177224,39.188562,"(39.188562, -77.177224)",7001041,118906,2619,518,24,700104
2021-02-05,FIRE,Authorized,8315 Stedmall Ter,Montgomery Village,POINT (-77.172327 39.188126),-77.172327,39.188126000000004,"(39.188126, -77.172327)",7001041,118906,2619,518,24,700104
2021-01-23,FIRE,Authorized,8506 Hawk Run Ter,Montgomery Village,POINT (-77.178126 39.187047),-77.178126,39.187047,"(39.187047, -77.178126)",7001041,118906,2619,518,24,700104
2021-02-09,REPO,Loftons,20402 Lindos Ct,Montgomery Village,POINT (-77.179285 39.189296),-77.179285,39.189296,"(39.189296, -77.179285)",7001041,118906,2619,518,24,700104
2021-02-14,PKG,Authorized,8781 Ravenglass Way,Montgomery Village,POINT (-77.182008 39.187714),-77.182008,39.187714,"(39.187714, -77.182008)",7001041,118906,2619,518,24,700104
2021-02-14,REPO,Santander,8847 Thomas Lea Ter,Montgomery Village,POINT (-77.181901 39.191003),-77.181901,39.191003,"(39.191003, -77.181901)",7001041,118906,2619,518,24,700104
2020-04-22,PKG,Authorized,9300 Bathgate Ct,Montgomery Village,POINT (-77.191288 39.192625),-77.191288,39.192625,"(39.192625, -77.191288)",7001042,98558,2125,452,24,700104
2020-05-28,ABN,Authorized,20633 Highland Hall Dr,Montgomery Village,POINT (-77.18872 39.192769),-77.18871999999999,39.192769,"(39.192769, -77.18872)",7001042,98558,2125,452,24,700104
2020-05-15,FIRE,Authorized,9437 Chadburn Pl,Montgomery Village,POINT (-77.192983 39.194509),-77.192983,39.194509000000004,"(39.194509, -77.192983)",7001042,98558,2125,452,24,700104
2020-05-06,NOP,Authorized,9305 Jarrett Ct,Montgomery Village,POINT (-77.191038 39.19349),-77.191038,39.193490000000004,"(39.19349, -77.191038)",7001042,98558,2125,452,24,700104
2020-05-31,FIRE,Authorized,9437 Chadburn Pl,Montgomery Village,POINT (-77.192983 39.194509),-77.192983,39.194509000000004,"(39.194509, -77.192983)",7001042,98558,2125,452,24,700104
2020-02-27,PKG,Authorized,9403 Penshurst Ct,Montgomery Village,POINT (-77.191769 39.193974),-77.191769,39.193974,"(39.193974, -77.191769)",7001042,98558,2125,452,24,700104
2020-02-27,MANAGER REQ,Authorized,20521 Highland Hall Dr,Montgomery Village,POINT (-77.188792 39.193992),-77.188792,39.193992,"(39.193992, -77.188792)",7001042,98558,2125,452,24,700104
2020-02-28,PRV,Authorized,20700 Aspenwood Ln,Montgomery Village,POINT (-77.194048 39.194943),-77.194048,39.194943,"(39.194943, -77.194048)",7001042,98558,2125,452,24,700104
2020-02-06,REPO,Dealer Lot,20509 Sterncroft Ct,Montgomery Village,POINT (-77.192184 39.192093),-77.192184,39.192093,"(39.192093, -77.192184)",7001042,98558,2125,452,24,700104
2020-02-20,PKG,Authorized,9206 Chadburn Pl,Montgomery Village,POINT (-77.190235 39.193745),-77.190235,39.193745,"(39.193745, -77.190235)",7001042,98558,2125,452,24,700104
2020-02-20,PKG,Authorized,9523 Dunbrook Ct,Montgomery Village,POINT (-77.194263 39.194193),-77.194263,39.194193,"(39.194193, -77.194263)",7001042,98558,2125,452,24,700104
2020-05-31,FIRE,Authorize,20600 Pruitt Ct,Montgomery Village,POINT (-77.192449 39.193347),-77.192449,39.193346999999996,"(39.193347, -77.192449)",7001042,98558,2125,452,24,700104
2020-04-18,NOP,Authorized,9331 Chadburn Pl,Montgomery Village,POINT (-77.191168 39.193977),-77.191168,39.193977000000004,"(39.193977, -77.191168)",7001042,98558,2125,452,24,700104
